productCode,productName,priceEach,quantityOrdered,productLine,orderNumber,orderdate,customerNumber,customerName,city,country,buyPrice,MSRP
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",94.22,41,"Vintage Cars",10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,64.58,105.87
S24_1785,"1928 British Royal Navy Airplane",107.23,28,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,66.74,109.42
S24_2841,"1900s Vintage Bi-Plane",65.77,49,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,34.25,68.51
S24_3420,"1937 Horch 930V Limousine",55.89,31,"Vintage Cars",10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,26.30,65.75
S24_3949,"Corsair F4U ( Bird Cage)",55.96,50,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,29.34,68.24
S24_4278,"1900s Vintage Tri-Plane",71.00,26,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,36.23,72.45
S32_4289,"1928 Ford Phaeton Deluxe",65.35,33,"Vintage Cars",10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,33.02,68.79
S50_1341,"1930 Buick Marquette Phaeton",35.78,39,"Vintage Cars",10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,27.06,43.64
S700_1691,"American Airlines: B767-300",91.34,31,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,51.15,91.34
S700_2047,"HMS Bounty",85.09,30,Ships,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,39.83,90.52
S700_2466,"America West Airlines B757-200",99.72,34,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,68.80,99.72
S700_2834,"ATA: B757-300",113.90,32,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,59.33,118.65
S700_3167,"F/A 18 Hornet 1/72",76.00,44,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,54.40,80.00
S700_4002,"American Airlines: MD-11S",70.33,48,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,36.27,74.03
S72_1253,"Boeing X-32A JSF",43.70,48,Planes,10106,2003-02-17,278,"Rovelli Gifts",Bergamo,Italy,32.77,49.66
S10_1678,"1969 Harley Davidson Ultimate Chopper",81.35,30,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,48.81,95.70
S10_2016,"1996 Moto Guzzi 1100i",105.86,39,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,68.99,118.94
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",172.36,27,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,91.02,193.66
S12_2823,"2002 Suzuki XREO",122.00,21,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,66.27,150.62
S18_2625,"1936 Harley Davidson El Knucklehead",52.70,29,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,24.23,60.57
S24_1578,"1997 BMW R 1100 S",96.92,25,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,60.86,112.70
S24_2000,"1960 BSA Gold Star DBD34",73.12,38,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,37.32,76.17
S32_1374,"1997 BMW F650 ST",88.90,20,Motorcycles,10107,2003-02-24,131,"Land of Toys Inc.",NYC,USA,66.92,99.89
S12_1099,"1968 Ford Mustang",165.38,33,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,95.34,194.57
S12_3380,"1968 Dodge Charger",96.30,45,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,75.16,117.44
S12_3990,"1970 Plymouth Hemi Cuda",75.81,39,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,31.92,79.80
S12_4675,"1969 Dodge Charger",107.10,36,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,58.73,115.16
S18_1889,"1948 Porsche 356-A Roadster",67.76,38,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,53.90,77.00
S18_3278,"1969 Dodge Super Bee",73.17,26,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,49.05,80.41
S18_3482,"1976 Ford Gran Torino",132.29,29,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,73.49,146.99
S18_3782,"1957 Vespa GS150",52.84,43,Motorcycles,10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,32.95,62.17
S18_4721,"1957 Corvette Convertible",139.87,44,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,69.93,148.80
S24_2360,"1982 Ducati 900 Monster",64.41,35,Motorcycles,10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,47.10,69.26
S24_3371,"1971 Alpine Renault 1600s",60.01,30,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,38.58,61.23
S24_3856,"1956 Porsche 356A Coupe",132.00,40,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,98.30,140.43
S24_4620,"1961 Chevrolet Impala",67.10,31,"Classic Cars",10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,32.33,80.84
S32_2206,"1982 Ducati 996 R",36.21,27,Motorcycles,10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,24.14,40.23
S32_4485,"1974 Ducati 350 Mk3 Desmo",87.76,31,Motorcycles,10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,56.13,102.05
S50_4713,"2002 Yamaha YZR M1",74.85,34,Motorcycles,10108,2003-03-03,385,"Cruz & Sons Co.","Makati City",Philippines,34.17,81.36
S18_1129,"1993 Mazda RX-7",117.48,26,"Classic Cars",10109,2003-03-10,486,"Motor Mint Distributors Inc.",Philadelphia,USA,83.51,141.54
S18_1984,"1995 Honda Civic",137.98,38,"Classic Cars",10109,2003-03-10,486,"Motor Mint Distributors Inc.",Philadelphia,USA,93.89,142.25
S18_2870,"1999 Indy 500 Monte Carlo SS",126.72,26,"Classic Cars",10109,2003-03-10,486,"Motor Mint Distributors Inc.",Philadelphia,USA,56.76,132.00
S18_3232,"1992 Ferrari 360 Spider red",160.87,46,"Classic Cars",10109,2003-03-10,486,"Motor Mint Distributors Inc.",Philadelphia,USA,77.90,169.34
S18_3685,"1948 Porsche Type 356 Roadster",125.74,47,"Classic Cars",10109,2003-03-10,486,"Motor Mint Distributors Inc.",Philadelphia,USA,62.16,141.28
S24_2972,"1982 Lamborghini Diablo",32.10,29,"Classic Cars",10109,2003-03-10,486,"Motor Mint Distributors Inc.",Philadelphia,USA,16.24,37.76
S18_1589,"1965 Aston Martin DB5",118.22,37,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,65.96,124.44
S18_1749,"1917 Grand Touring Sedan",153.00,42,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,86.70,170.00
S18_2248,"1911 Ford Town Car",51.46,32,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,33.30,60.54
S18_2325,"1932 Model A Ford J-Coupe",115.69,33,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,58.48,127.13
S18_2795,"1928 Mercedes-Benz SSK",163.69,31,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,72.56,168.75
S18_4409,"1932 Alfa Romeo 8C2300 Spider Sport",81.91,28,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,43.26,92.03
S18_4933,"1957 Ford Thunderbird",62.00,42,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,34.21,71.27
S24_1046,"1970 Chevy Chevelle SS 454",72.02,36,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,49.24,73.49
S24_1628,"1966 Shelby Cobra 427 S/C",43.27,29,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,29.18,50.31
S24_1937,"1939 Chevrolet Deluxe Coupe",28.88,20,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,22.57,33.19
S24_2022,"1938 Cadillac V-16 Presidential Limousine",40.77,39,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,20.61,44.80
S24_2766,"1949 Jaguar XK 120",82.69,43,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,47.25,90.87
S24_2887,"1952 Citroen-15CV",112.74,46,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,72.82,117.44
S24_3191,"1969 Chevrolet Camaro Z28",80.47,27,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,50.51,85.61
S24_3432,"2002 Chevy Corvette",96.37,37,"Classic Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,62.11,107.08
S24_3969,"1936 Mercedes Benz 500k Roadster",35.29,48,"Vintage Cars",10110,2003-03-18,187,"AV Stores, Co.",Manchester,UK,21.75,41.03
S18_1342,"1937 Lincoln Berline",87.33,33,"Vintage Cars",10111,2003-03-25,129,"Mini Wheels Co.","San Francisco",USA,60.62,102.74
S18_1367,"1936 Mercedes-Benz 500K Special Roadster",48.52,48,"Vintage Cars",10111,2003-03-25,129,"Mini Wheels Co.","San Francisco",USA,24.26,53.91
S18_2957,"1934 Ford V8 Coupe",53.09,28,"Vintage Cars",10111,2003-03-25,129,"Mini Wheels Co.","San Francisco",USA,34.35,62.46
S18_3136,"18th Century Vintage Horse Carriage",94.25,43,"Vintage Cars",10111,2003-03-25,129,"Mini Wheels Co.","San Francisco",USA,60.74,104.72
S18_3320,"1917 Maxwell Touring Car",91.27,39,"Vintage Cars",10111,2003-03-25,129,"Mini Wheels Co.","San Francisco",USA,57.54,99.21
S24_4258,"1936 Chrysler Airflow",85.70,26,"Vintage Cars",10111,2003-03-25,129,"Mini Wheels Co.","San Francisco",USA,57.46,97.39
S10_1949,"1952 Alpine Renault 1300",197.16,29,"Classic Cars",10112,2003-03-24,144,"Volvo Model Replicas, Co",Luleå,Sweden,98.58,214.30
S18_2949,"1913 Ford Model T Speedster",85.10,23,"Vintage Cars",10112,2003-03-24,144,"Volvo Model Replicas, Co",Luleå,Sweden,60.78,101.31
S12_1666,"1958 Setra Bus",121.64,21,"Trucks and Buses",10113,2003-03-26,124,"Mini Gifts Distributors Ltd.","San Rafael",USA,77.90,136.67
S18_1097,"1940 Ford Pickup Truck",101.50,49,"Trucks and Buses",10113,2003-03-26,124,"Mini Gifts Distributors Ltd.","San Rafael",USA,58.33,116.67
S18_4668,"1939 Cadillac Limousine",43.27,50,"Vintage Cars",10113,2003-03-26,124,"Mini Gifts Distributors Ltd.","San Rafael",USA,23.14,50.31
S32_3522,"1996 Peterbilt 379 Stake Bed with Outrigger",58.82,23,"Trucks and Buses",10113,2003-03-26,124,"Mini Gifts Distributors Ltd.","San Rafael",USA,33.61,64.64
S10_4962,"1962 LanciaA Delta 16V",128.53,31,"Classic Cars",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,103.42,147.74
S18_2319,"1964 Mercedes Tour Bus",106.78,39,"Trucks and Buses",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,74.86,122.73
S18_2432,"1926 Ford Fire Engine",53.48,45,"Trucks and Buses",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,24.92,60.77
S18_3232,"1992 Ferrari 360 Spider red",169.34,48,"Classic Cars",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,77.90,169.34
S18_4600,"1940s Ford truck",105.34,41,"Trucks and Buses",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,84.76,121.08
S24_2300,"1962 Volkswagen Microbus",102.23,21,"Trucks and Buses",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,61.34,127.79
S24_2840,"1958 Chevy Corvette Limited Edition",28.64,24,"Classic Cars",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,15.91,35.36
S32_1268,"1980’s GM Manhattan Express",88.61,32,"Trucks and Buses",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,53.93,96.31
S32_2509,"1954 Greyhound Scenicruiser",43.83,28,"Trucks and Buses",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,25.98,54.11
S700_2824,"1982 Camaro Z28",82.94,42,"Classic Cars",10114,2003-04-01,172,"La Corne D'abondance, Co.",Paris,France,46.53,101.15
S12_4473,"1957 Chevy Pickup",111.39,46,"Trucks and Buses",10115,2003-04-04,424,"Classic Legends Inc.",NYC,USA,55.70,118.50
S18_2238,"1998 Chrysler Plymouth Prowler",140.81,46,"Classic Cars",10115,2003-04-04,424,"Classic Legends Inc.",NYC,USA,101.51,163.73
S24_1444,"1970 Dodge Coronet",56.64,47,"Classic Cars",10115,2003-04-04,424,"Classic Legends Inc.",NYC,USA,32.37,57.80
S24_4048,"1992 Porsche Cayenne Turbo Silver",106.45,44,"Classic Cars",10115,2003-04-04,424,"Classic Legends Inc.",NYC,USA,69.78,118.28
S50_1392,"Diamond T620 Semi-Skirted Tanker",100.70,27,"Trucks and Buses",10115,2003-04-04,424,"Classic Legends Inc.",NYC,USA,68.29,115.75
S32_3207,"1950's Chicago Surface Lines Streetcar",60.28,27,Trains,10116,2003-04-11,381,"Royale Belge",Charleroi,Belgium,26.72,62.14
S12_1108,"2001 Ferrari Enzo",195.33,33,"Classic Cars",10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,95.59,207.80
S12_3148,"1969 Corvair Monza",148.06,43,"Classic Cars",10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,89.14,151.08
S12_3891,"1969 Ford Falcon",173.02,39,"Classic Cars",10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,83.05,173.02
S18_3140,"1903 Ford Model A",121.57,26,"Vintage Cars",10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,68.30,136.59
S18_3259,"Collectable Wooden Train",81.68,21,Trains,10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,67.56,100.84
S18_4027,"1970 Triumph Spitfire",122.08,22,"Classic Cars",10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,91.92,143.62
S18_4522,"1904 Buick Runabout",73.73,23,"Vintage Cars",10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,52.66,87.77
S24_2011,"18th century schooner",119.20,41,Ships,10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,82.34,122.89
S50_1514,"1962 City of Detroit Streetcar",55.65,21,Trains,10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,37.49,58.58
S700_1938,"The Mayflower",75.35,38,Ships,10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,43.30,86.61
S700_3962,"The Queen Mary",89.38,45,Ships,10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,53.63,99.31
S72_3212,"Pont Yacht",52.42,50,Ships,10117,2003-04-16,148,"Dragon Souveniers, Ltd.",Singapore,Singapore,33.30,54.60
S700_3505,"The Titanic",86.15,36,Ships,10118,2003-04-21,216,"Enaco Distributors",Barcelona,Spain,51.09,100.17
S10_4757,"1972 Alfa Romeo GTA",112.88,46,"Classic Cars",10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,85.68,136.00
S18_1662,"1980s Black Hawk Helicopter",151.38,43,Planes,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,77.27,157.69
S18_3029,"1999 Yamaha Speed Boat",74.84,21,Ships,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,51.61,86.02
S18_3856,"1941 Chevrolet Special Deluxe Cabriolet",95.28,27,"Vintage Cars",10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,64.58,105.87
S24_2841,"1900s Vintage Bi-Plane",64.40,41,Planes,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,34.25,68.51
S24_3151,"1912 Ford Model T Delivery Wagon",72.58,35,"Vintage Cars",10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,46.91,88.51
S24_3420,"1937 Horch 930V Limousine",63.12,20,"Vintage Cars",10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,26.30,65.75
S24_3816,"1940 Ford Delivery Sedan",82.18,35,"Vintage Cars",10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,48.64,83.86
S24_3949,"Corsair F4U ( Bird Cage)",62.10,28,Planes,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,29.34,68.24
S700_1138,"The Schooner Bluenose",57.34,25,Ships,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,34.00,66.67
S700_2047,"HMS Bounty",74.23,29,Ships,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,39.83,90.52
S700_2610,"The USS Constitution Ship",67.22,38,Ships,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,33.97,72.28
S700_4002,"American Airlines: MD-11S",63.67,26,Planes,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,36.27,74.03
S72_1253,"Boeing X-32A JSF",40.22,28,Planes,10119,2003-04-28,382,"Salzburg Collectables",Salzburg,Austria,32.77,49.66
S10_2016,"1996 Moto Guzzi 1100i",118.94,29,Motorcycles,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,68.99,118.94
S10_4698,"2003 Harley-Davidson Eagle Drag Bike",158.80,46,Motorcycles,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,91.02,193.66
S18_2581,"P-51-D Mustang",82.79,29,Planes,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,49.00,84.48
S18_2625,"1936 Harley Davidson El Knucklehead",57.54,46,Motorcycles,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,24.23,60.57
S24_1578,"1997 BMW R 1100 S",110.45,35,Motorcycles,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,60.86,112.70
S24_1785,"1928 British Royal Navy Airplane",93.01,39,Planes,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,66.74,109.42
S24_2000,"1960 BSA Gold Star DBD34",72.36,34,Motorcycles,10120,2003-04-29,114,"Australian Collectors, Co.",Melbourne,Australia,37.32,76.17
